id,qty_multiple,name,product_uom.id,company_id:id,warehouse_id:id,location_id:id,product_id:id,product_min_qty,product_max_qty
scenario.orderpoint_142081,10,OP/00232,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142081,6,21
scenario.orderpoint_141986,1,OP/00196,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141986,108,253
scenario.orderpoint_141719,60,OP/00133,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141719,3876,9044
scenario.orderpoint_141720,60,OP/00134,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141720,978,2281
scenario.orderpoint_141721,60,OP/00135,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141721,1608,3753
scenario.orderpoint_141722,60,OP/00136,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141722,68,158
scenario.orderpoint_141723,60,OP/00137,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141723,215,501
scenario.orderpoint_141259,10,OP/00013,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141259,,
scenario.orderpoint_141261,10,OP/00015,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141261,,
scenario.orderpoint_141260,10,OP/00014,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141260,,
scenario.orderpoint_141379,10,OP/00031,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141379,,
scenario.orderpoint_141657,1,OP/00105,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141657,3,5
scenario.orderpoint_141658,1,OP/00106,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141658,0,0
scenario.orderpoint_141659,1,OP/00107,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141659,7,27
scenario.orderpoint_141660,1,OP/00108,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141660,,
scenario.orderpoint_141663,60,OP/00109,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141663,108,251
scenario.orderpoint_141680,30,OP/00110,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141680,2606,6080
scenario.orderpoint_141681,30,OP/00111,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141681,293,683
scenario.orderpoint_141682,30,OP/00112,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141682,107,238
