id,name,user_id:id,date_start,date_end,street,zip,city,stage_id:id,build_type,project_type_id:id
scenario.buildingproject_-2142506248,Intershop Edenstrasse 20,scenario.res_users_rhu,2014-10-28,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142506203,"Kappelenring 6, 3032 Hinterkappelen",scenario.res_users_mle,2014-10-28,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142506201,Green-City (Baufeld B1 Nord / B1 Süd / B2),scenario.res_users_dla,,,,,,specific_building_project.stage_submission,,
scenario.buildingproject_-2142506192,"Zwicky-Areal, Baufeld D + E + B Nord",scenario.res_users_dla,,,,,,specific_building_project.stage_submission,,
scenario.buildingproject_-2142505933,Neubau Töpferei 443818,scenario.res_users_rhu,2014-10-29,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142505290,Bürotrakt Werkhof Waldau,scenario.res_users_mka,2014-10-29,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142504583,Isteinerstrasse 72+78 Basel,scenario.res_users_sku,2014-10-30,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142504535,SBB Walkenweg 55,scenario.res_users_rhu,2014-10-30,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142503708,Helvetia West,scenario.res_users_mka,2014-10-31,,,,,specific_building_project.stage_submission,,
scenario.buildingproject_-2142502582,2x bevorstehend in Hergiswil: 1x Seestr.,scenario.res_users_dla,2014-10-29,,,,,specific_building_project.stage_closed,,
scenario.buildingproject_-2142502580,"Neufrohalp, Kriens",scenario.res_users_dla,2014-10-29,2015-03-20,,,,specific_building_project.stage_acquisiton,,
scenario.buildingproject_-2142502403,Sportzentrum Heuried ZH,scenario.res_users_fbo,2014-11-03,,,,,specific_building_project.stage_closed,,
scenario.buildingproject_-2142502223,AMAG Küry Rüschlikon,scenario.res_users_rhu,2014-11-03,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142502205,"Alte Universität Basel, Rheinsprung 9/11",scenario.res_users_rhu,2014-11-03,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142499922,ARGE Jungfraublickallee,scenario.res_users_mle,2014-11-04,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142499584,Businesscenter - Landquart,scenario.res_users_mka,2014-11-04,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142498862,Crédit Suisse Bel Air in Genf,scenario.res_users_dla,2014-11-05,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142496899,21414 Consortium UBS Electric,scenario.res_users_mse,2014-11-06,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142496837,Gewerbehaus 133002 MTU 4,scenario.res_users_rhu,2014-11-06,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142494221,Neubau Betriebsgebäude SVRW Wil,scenario.res_users_mka,2014-10-27,,,,,specific_building_project.stage_quotation,,
