id,name,description,active,default_code,categ_id:id,list_price,standard_price,weight,taxes_id,property_account_income_id,property_account_expense_id,type,state,uom_id:id,valuation
scenario.product_151441,PD2 S 180 NUP 12-48V BEG/S,"Präsenzmelder 12V-24V-48V, schwarz",TRUE,151441,scenario.product_category_R201_002,218,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151442,PD2 S 180 NUP KNX BEG/SI,"Präsenzmelder KNX, silber",TRUE,151442,scenario.product_category_R201_002,327,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151443,PD2 S 180 NUP KNX BEG/S,"Präsenzmelder KNX, schwarz",TRUE,151443,scenario.product_category_R201_002,327,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151444,Indoor 180 NAP Kombi BEG/SI,"Bewegungsmelder 10A, silber",TRUE,151444,scenario.product_category_R201_001,210,0,0.354,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151445,Indoor 180 NAP Kombi BEG/S,"Bewegungsmelder 10A, schwarz",TRUE,151445,scenario.product_category_R201_001,210,0,0.354,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151446,Indoor 180 NAP Minuterie BEG/SI,"Bewegungsmelder für Minuterien, 2 Leiter, silber",TRUE,151446,scenario.product_category_R201_001,200,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151447,Indoor 180 NAP Minuterie BEG/S,"Bewegungsmelder für Minuterien, 2 Leiter, schwarz",TRUE,151447,scenario.product_category_R201_001,200,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151448,Indoor 180 NAP Kombi 2L BEG/SI,"Bewegungsmelder 10A, 2L Schema 0, silber",TRUE,151448,scenario.product_category_R201_001,252,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151449,Indoor 180 NAP Kombi 2L BEG/S,"Bewegungsmelder 10A, 2L Schema 0, schwarz",TRUE,151449,scenario.product_category_R201_001,252,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151450,PD2 S 180 NAP Master 1C BEG/SI,"Präsenzmelder 1-Kanal, silber",TRUE,151450,scenario.product_category_R201_002,215,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151451,PD2 S 180 NAP Master 1C BEG/S,"Präsenzmelder 1-Kanal, schwarz",TRUE,151451,scenario.product_category_R201_002,215,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151452,PD2 S 180 NAP Master 2C BEG/SI,"Präsenzmelder 2-Kanal, silber",TRUE,151452,scenario.product_category_R201_002,235,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151453,PD2 S 180 NAP Master 2C BEG/S,"Präsenzmelder 2-Kanal, schwarz",TRUE,151453,scenario.product_category_R201_002,235,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151454,PD2 S 180 NAP Slave BEG/SI,"Präsenzmelder Slave, silber",TRUE,151454,scenario.product_category_R201_002,205,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151455,PD2 S 180 NAP Slave BEG/S,"Präsenzmelder Slave, schwarz",TRUE,151455,scenario.product_category_R201_002,205,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151456,PD2 S 180 NAP 12-48V BEG/SI,"Präsenzmelder 12V-24V-48V, silber",TRUE,151456,scenario.product_category_R201_002,243,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151457,PD2 S 180 NAP 12-48V BEG/S,"Präsenzmelder 12V-24V-48V, schwarz",TRUE,151457,scenario.product_category_R201_002,243,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151458,PD2 S 180 NAP KNX BEG/SI,"Präsenzmelder KNX, silber",TRUE,151458,scenario.product_category_R201_002,352,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
